url,url_length,num_dots,num_hyphens,num_underscores,num_slashes,num_digits,num_at_symbols,num_subdomains,has_ip_address,has_https,has_double_slash_redirect,has_suspicious_word,has_shortener,domain_length,path_length,has_hyphen_in_domain,num_query_params,label
http://cutt.ly/b3r36fp,22,1,0,0,3,3,0,0,0,0,0,0,1,4,8,0,0,1
https://hdfcbank.com/docs/api/reference,42,1,0,0,5,0,0,0,0,1,0,0,0,12,19,0,0,0
http://23.167.5.158/verify/hdfcbank,35,3,3,0,4,12,0,1,1,0,0,1,0,12,16,1,0,1
https://www.galgotiasuniversity.edu.in/help/faq,45,3,0,0,4,0,0,2,0,1,0,0,0,30,9,0,0,0
http://sbi-suspend-secure.cf/suspend/index.php,46,3,2,0,4,0,0,0,0,0,0,1,0,21,18,1,0,1
https://www.apple.com/help/faq,30,2,0,0,4,0,0,1,0,1,0,0,0,13,9,0,0,0
https://www.irctc.co.in/account/anouof0onj?ref=email&utm_id=7917,64,3,0,1,4,5,0,2,0,1,0,0,0,15,19,0,2,0
http://tinyurl.com/o5C7s7b,26,4,0,0,3,3,0,0,0,0,0,0,1,9,5,0,0,1
https://stackoverflow.com/user/profile/settings,47,1,0,0,5,0,0,0,0,1,0,0,0,17,22,0,0,0
http://txputhgsrcw2eyyb9z9trun58.click/signin-microsoft-signin/confirm.php?id=6058,82,2,2,0,4,9,0,0,0,1,0,1,0,31,36,0,1,1
http://equtb.top/microsoft/account/account@microsoft.com/account.php,68,3,0,0,6,0,1,0,0,0,0,1,0,9,52,0,0,1
https://nptel.ac.in/about,25,2,0,0,3,0,0,1,0,1,0,0,0,11,6,0,0,0
https://irctc.co.in/help/faq,28,2,0,0,4,0,0,1,0,1,0,0,0,11,9,0,0,0
http://pwarkdpw0gkejzypr2d1wg5xf.cf/login-amazon-login/confirm.php?id=2973,74,2,2,0,4,8,0,0,0,0,0,1,0,25,29,0,1,1
http://paypal-login-secure.ga/login/index.php,45,2,2,0,4,0,0,0,1,1,0,1,0,22,16,1,0,1
https://www.amazon.in/contact,29,2,0,0,3,0,0,1,0,1,0,0,0,13,11,0,0,0
https://flipkart.com/blog/2024/article,38,1,0,0,5,4,0,0,0,0,0,0,1,12,18,0,0,0
https://www.aicte-india.org/news/today,38,2,1,0,4,0,0,1,0,1,0,0,0,19,11,1,0,0
http://hdfcbank.secure.lxk2g5.cf/secure,39,3,0,0,3,2,0,2,0,0,0,1,0,25,7,0,0,1
http://iu3609kr96ynij99bzc0nysb-.ga/signin-hdfcbank-signin/confirm.php?id=5375,78,2,3,0,4,13,0,0,0,0,0,1,0,28,35,0,1,1
